*Interval,Price (Rs./MWh)
1,2330.1
2,2300.07
3,2300.13
4,2265.65
5,2191.43
6,2139.58
7,2124.82
8,2119.51
9,2119.12
10,2110.27
11,2064.62
12,2055.7
13,2070.32
14,2089.73
15,2065.81
16,2084.32
17,2042.22
18,2073.15
19,2131.44
20,2265.21
21,2603.99
22,2603.66
23,2603.86
24,2699.6
25,2927.99
26,3185.6
27,3241.21
28,3241.3
29,3720.28
30,3862.91
31,4459.91
32,4900.76
33,5249.76
34,5499.48
35,9499.69
36,9909.46
37,9899.1
38,9909.36
39,6141
40,5446.36
41,4900.63
42,4699.19
43,4000.1
44,3750.63
45,3620.89
46,3720.57
47,3620.93
48,3620.33
49,3245.89
50,3235.13
51,3020.48
52,2927.51
53,2370.75
54,2370.82
55,2843.83
56,2843.92
57,2927.31
58,3000.17
59,3019.55
60,3019.65
61,2927.49
62,2942.76
63,3213.76
64,3284.3
65,3299.78
66,3240.6
67,3267.88
68,3599.3
69,3862.57
70,4956.07
71,6173.25
72,6285.5
73,9280.34
74,10000
75,10000
76,9735.26
77,4265.95
78,3700.44
79,3500.75
80,3270.62
81,3270.81
82,3280.47
83,3240.02
84,3235.76
85,3000.53
86,3129.14
87,3010.99
88,3019.23
89,2650.45
90,2600.02
91,2500.97
92,2550.97
93,2449.04
94,2500.43
95,2500.46
96,2510.32
97,2939.96
98,3000.66
99,3000.16
100,3000.34
101,2980.35
102,2980.17
103,2961.44
104,2955.25
105,2939.51
106,2939.46
107,2939.08
108,2900.32
109,2899.5
110,2900.03
111,2900.03
112,2900.66
113,2939.28
114,2955.51
115,2999.79
116,2955.06
117,3060.09
118,3060.54
119,3230.75
120,3360.22
121,3547.9
122,4650.74
123,5800.31
124,10000
125,10000
126,10000
127,10000
128,10000
129,10000
130,10000
131,10000
132,10000
133,10000
134,10000
135,7000.8
136,6500.35
137,5712.1
138,5314.16
139,4683.2
140,4100.11
141,3620.14
142,3547.47
143,3547.69
144,3500.35
145,3431.81
146,3400.26
