*Interval,Price (Rs./MWh)
12502,1780.5
12503,2200.7
12504,2299.95
12505,3002.45
12506,3464.0
12507,3404.67
12508,3356.91
12509,3409.15
12510,3371.35
12511,2999.2
12512,2999.37
12513,3124.0
12514,3269.3
12515,2880.68
12516,2859.97
12517,2299.5
12518,2299.87
12519,2037.92
12520,1499.6
12521,1488.37
12522,1489.2
12523,2483.68
12524,2429.38
12525,2483.85
12526,2409.36
12527,2483.25
12528,2359.45
12529,2000.96
12530,2000.79
12531,1199.65
12532,1688.54
12533,1399.91
12534,1549.22
12535,1399.06
12536,1399.2
12537,999.77
12538,999.77
12539,2300.33
12540,2300.71
12541,1903.0
12542,1925.0
12543,2209.27
12544,2000.44
12545,1989.78
12546,2262.0
12547,2483.19
12548,2699.53
12549,2483.01
12550,2750.45
12551,2750.96
12552,2750.96
12553,3679.25
12554,3679.99
12555,3219.25
12556,3084.8
12557,1688.94
12558,1688.57
12559,1445.83
12560,1499.87
12561,2049.58
12562,1979.5
12563,2483.55
12564,2800.72
12565,2859.65
12566,2409.68
12567,1959.35
12568,1959.66
12569,2500.45
12570,2483.53
12571,2271.52
12572,2483.89
12573,1688.97
12574,2252.0
12575,2119.33
12576,2119.83
15457,1700.46
15458,1600.33
15459,2409.13
15460,2369.97
15461,2209.86
15462,1680.41
15463,1700.72
15464,1700.87
15465,2369.18
15466,2369.62
15467,1959.7
15468,1780.2
15469,1959.12
15470,1959.06
15471,1959.34
15472,1959.58
15473,1446.0
15474,1959.69
15475,1959.44
15476,1959.95
15477,1999.85
15478,3359.8
15479,2928.73
15480,3199.56
15481,3152.06
15482,3456.81
15483,3679.15
15484,3800.19
15485,3800.64
15486,4030.11
15487,3725.66
15488,3439.61
15489,3544.2
15490,3440.71
15491,3359.58
15492,3269.95
15493,3389.83
15494,3500.71
15495,3081.81
15496,3000.42
15497,2483.05
15498,2300.61
15499,2200.62
15500,2100.68
15501,2800.33
15502,3000.6
15503,3000.31
15504,2899.34
15505,2300.92
15506,2300.58
15507,1499.41
15508,1497.58
15509,1783.39
15510,1759.42
15511,999.79
15512,998.91
15513,2208.63
15514,2298.15
15515,2750.44
15516,2750.81
15517,2483.31
15518,2859.66
15519,2750.74
15520,2859.19
15521,2550.67
15522,2750.87
15523,3448.44
15524,3359.47
15525,3449.19
15526,3879.49
15527,4200.51
15528,4400.09
15529,4689.42
15530,5081.52
15531,5850.1
15532,4600.5
15533,3579.36
15534,3364.67
15535,2500.81
15536,2199.79
15537,1999.15
