*Interval,Price (Rs./MWh)
97,3000.16
98,2939.68
99,2950.91
100,2850.51
101,2700.55
102,2400.49
103,2880.02
104,2850.66
105,2850.47
106,2850.88
107,2768.22
108,2600.78
109,2768.13
110,2891.08
111,2939.01
112,2939.47
113,3101.6
114,3101.68
115,3379.92
116,3101.78
117,3379.33
118,3501.2
119,3620.78
120,3620.59
121,5020.57
122,5200.75
123,4945.07
124,5630.59
125,4500.29
126,4309.1
127,5200.28
128,6500.15
129,5100.47
130,5200.23
131,5500.53
132,6000.84
133,6505.18
134,6505.28
135,6303.67
136,6149.22
137,5200.69
138,4787.81
139,4749.5
140,4682.2
141,3899.43
142,4392.24
143,4701.0
144,4989.34
145,4364.94
146,4392.68
147,3680.47
148,3680.81
149,2489.74
150,2431.24
151,2921.51
152,2921.1
153,2900.75
154,3000.33
155,2670.0
156,2860.19
157,2921.87
158,2959.43
159,3499.24
160,3510.78
161,3800.41
162,4200.62
163,4945.2
164,4442.11
165,3599.01
166,3599.25
167,2999.96
168,3680.69
169,4500.97
170,5780.31
171,12000.0
172,12000.0
173,12000.0
174,12000.0
175,12000.0
176,12000.0
177,6149.95
178,5699.08
179,6149.64
180,5250.4
181,4898.81
182,4700.63
183,4200.34
184,3899.69
185,3599.19
186,4476.0
187,4662.22
188,4540.07
189,4442.99
190,4000.79
191,4652.98
192,4392.9
3073,3719.06
3074,3595.87
3075,3595.42
3076,3595.09
3077,3250.99
3078,3050.92
3079,3000.31
3080,2950.44
3081,3000.02
3082,2959.47
3083,2950.7
3084,2950.71
3085,2850.46
3086,2850.2
3087,2850.86
3088,2959.11
3089,3595.78
3090,3595.66
3091,3250.4
3092,3268.42
3093,4263.69
3094,3719.85
3095,4000.88
3096,3980.98
3097,6000.21
3098,5499.5
3099,6131.16
3100,7500.09
3101,7500.61
3102,6989.47
3103,8000.62
3104,8000.58
3105,6000.94
3106,6000.93
3107,5611.53
3108,6060.17
3109,6500.96
3110,6500.94
3111,6989.33
3112,5678.82
3113,5611.74
3114,4500.82
3115,4200.68
3116,4150.34
3117,4787.47
3118,5026.56
3119,4652.39
3120,4652.3
3121,3719.44
3122,3595.64
3123,3500.06
3124,3499.92
3125,2999.34
3126,2919.11
3127,2850.54
3128,2850.75
3129,3595.51
3130,3595.66
3131,3680.23
3132,3680.47
3133,3595.87
3134,3595.15
3135,3595.32
3136,3595.42
3137,3719.23
