*Interval,Price (Rs./MWh)
97,2305.51
98,2260.2
99,2249.88
100,2100.95
101,2049.63
102,1999.66
103,2000.58
104,1987.86
105,1987.5
106,1987.48
107,1987.01
108,1916.75
109,1916.5
110,1916.64
111,1916.62
112,1916.23
113,1907.71
114,1999.04
115,2099.84
116,2201.6
117,2305.5
118,2407.35
119,2600.79
120,2799.63
121,2829.2
122,3100.37
123,3500.03
124,3500.68
125,3500.17
126,4100.72
127,4855.35
128,5899.92
129,6000.56
130,7050.57
131,7050.86
132,8000.24
133,7000.95
134,7050.66
135,7050.48
136,7000.66
137,6844.81
138,6866.93
139,6634.59
140,6583.42
141,5989.8
142,4991.6
143,4877.23
144,4300.72
145,3649.11
146,3649.69
147,3449.26
148,3100.59
149,3200.06
150,3079.28
151,3079.63
152,3079.28
153,3079.26
154,3000.48
155,2918.51
156,2918.61
157,3100.02
158,3100.17
159,3259.84
160,3259.29
161,3616.04
162,3786.08
163,4100.04
164,4300.25
165,3786.33
166,3600.13
167,3786.04
168,4300.19
169,4300.23
170,5200.51
171,5899.4
172,6950.47
173,6950.26
174,6815.87
175,5930.64
176,5300.29
177,4502.4
178,4100.29
179,3700.84
180,3500.85
181,3448.28
182,3341.97
183,3289.96
184,3099.99
185,2579.28
186,2579.95
187,2724.28
188,2708.18
189,2699.62
190,2701.66
191,2556.67
192,2407.69
3073,2337.87
3074,2335.51
3075,2305.41
3076,2261.83
3077,2197.27
3078,2107.13
3079,2105.58
3080,2102.77
3081,1999.93
3082,1999.99
3083,1999.83
3084,1999.6
3085,1999.52
3086,1999.59
3087,1999.39
3088,1999.25
3089,1999.97
3090,2203.59
3091,2207.45
3092,2235.47
3093,2235.59
3094,2235.61
3095,2235.93
3096,2235.99
3097,2789.19
3098,3030.74
3099,3599.04
3100,3900.33
3101,3699.03
3102,4489.89
3103,4630.57
3104,5251.44
3105,6200.14
3106,6500.42
3107,6500.66
3108,6500.64
3109,6500.55
3110,6500.84
3111,7000.64
3112,7000.12
3113,6500.21
3114,6500.16
3115,6500.41
3116,6361.75
3117,5250.19
3118,4877.09
3119,4856.65
3120,3796.89
3121,4000.34
3122,4000.05
3123,3796.43
3124,3500.38
3125,3448.68
3126,3313.73
3127,3196.08
3128,3081.37
3129,3030.22
3130,2969.07
3131,2879.26
3132,2829.46
3133,3030.75
3134,3079.5
3135,3499.05
3136,3499.13
3137,3500.57
3138,3598.84
3139,3796.47
3140,4500.35
3141,3796.18
3142,3608.63
3143,3633.35
3144,3980.5
3145,3796.82
3146,4500.81
3147,5250.68
3148,6000.11
3149,6500.21
3150,6500.75
3151,6200.29
3152,5533.0
3153,4500.35
3154,3796.53
3155,3598.23
3156,3339.94
3157,3259.25
3158,3000.03
3159,2998.65
3160,2996.98
3161,2829.95
3162,2789.88
3163,2600.02
3164,2708.39
3165,2509.89
3166,2500.26
3167,2149.22
3168,2149.18
5761,2574.3
5762,2500.08
5763,2307.92
5764,2300.4
5765,2205.93
5766,2205.11
5767,2128.12
5768,2011.43
5769,2099.74
5770,2008.77
5771,2005.73
5772,2005.48
5773,2001.8
5774,2001.2
5775,2003.4
5776,2001.3
5777,1999.94
5778,2205.52
5779,2300.62
5780,2335.76
5781,2307.07
5782,2205.49
5783,2307.27
5784,2699.11
5785,2759.27
5786,3319.3
5787,3499.82
5788,4200.25
5789,4000.9
5790,5250.49
5791,5000.98
5792,5600.59
5793,6500.82
5794,7250.15
5795,7250.54
5796,7250.51
5797,7250.15
5798,6500.75
5799,6500.6
5800,6500.22
5801,6000.57
5802,6029.4
5803,6267.0
5804,5751.0
5805,5351.87
5806,5034.88
5807,4836.58
5808,3821.03
5809,3600.6
5810,3500.83
5811,3499.08
5812,3166.12
5813,3079.93
5814,3079.5
5815,3000.68
5816,2939.32
5817,2809.18
5818,2759.89
5819,2939.23
5820,2759.71
5821,2824.21
5822,2809.46
5823,2999.67
5824,3000.2
5825,3079.56
5826,3448.74
5827,3992.77
5828,4600.23
5829,3649.69
5830,3800.28
5831,3608.75
5832,4353.04
5833,4200.81
5834,4900.82
5835,5280.21
5836,5250.77
5837,5250.88
5838,5508.4
5839,5250.13
5840,4992.26
5841,4116.4
5842,3616.1
5843,3499.11
5844,3269.09
5845,3036.44
5846,3010.11
5847,2800.93
5848,2499.46
5849,2498.7
5850,2579.43
5851,2579.16
5852,2701.59
5853,2509.09
5854,2500.48
5855,2301.47
5856,2500.47
8737,2579.22
8738,2500.07
8739,2357.27
8740,2305.54
8741,2255.11
8742,2150.76
8743,2178.33
8744,2102.07
8745,2101.69
8746,2101.03
8747,2086.41
8748,2049.85
8749,2050.9
8750,2050.96
8751,2100.75
8752,2080.52
8753,1987.35
8754,2011.1
8755,2178.99
8756,2255.75
8757,2357.23
8758,2574.01
8759,2709.37
8760,2773.99
8761,2785.78
8762,3000.13
8763,3050.92
8764,3499.68
8765,3441.93
8766,4500.71
8767,5250.89
8768,5805.37
8769,5555.79
8770,6229.04
8771,6500.23
8772,6000.75
8773,5899.79
8774,6000.67
8775,5899.52
8776,6000.71
8777,5250.53
8778,5319.0
8779,5333.26
8780,5333.83
8781,5110.7
8782,4734.31
8783,4682.62
8784,3821.32
8785,2999.08
8786,2824.32
8787,2950.84
8788,2999.59
8789,3111.51
8790,2999.48
8791,2989.84
8792,2824.68
8793,2809.75
8794,2809.28
8795,2809.21
8796,2773.7
8797,2809.01
8798,2773.33
8799,2799.94
8800,2809.88
8801,3036.66
8802,3050.82
8803,3269.98
8804,3499.18
8805,3339.04
8806,3369.5
8807,3499.59
8808,3821.49
8809,4000.53
8810,4469.28
8811,5229.59
8812,5250.39
8813,4500.91
8814,4660.0
8815,4469.41
8816,3969.14
8817,3369.62
8818,3270.0
8819,3259.98
8820,3132.5
8821,3002.39
8822,2997.45
8823,2993.88
8824,2989.65
8825,2600.29
8826,2369.34
8827,2533.18
8828,2300.01
8829,2300.93
8830,2114.5
8831,2049.26
8832,2089.01
11617,1999.16
11618,1987.44
11619,1916.52
11620,1900.23
11621,1766.08
11622,1757.56
11623,1754.83
11624,1754.54
11625,1672.57
11626,1672.42
11627,1679.5
11628,1672.41
11629,1757.32
11630,1754.03
11631,1754.51
11632,1757.6
11633,1766.01
11634,1987.09
11635,1987.58
11636,2078.28
11637,2050.18
11638,2078.78
11639,2155.38
11640,2300.59
11641,2685.11
11642,2889.64
11643,3068.09
11644,3448.56
11645,3750.92
11646,4702.96
11647,4489.6
11648,5250.05
11649,5899.17
11650,5979.12
11651,6500.06
11652,6000.34
11653,5899.1
11654,6000.79
11655,6250.12
11656,6075.04
11657,5250.59
11658,5500.8
11659,5700.1
11660,5700.33
11661,4400.32
11662,4312.86
11663,3520.82
11664,3499.44
11665,3349.56
11666,3441.81
11667,3499.4
11668,3448.47
11669,3400.05
11670,3274.45
11671,3061.28
11672,2950.19
11673,2889.66
11674,2789.03
11675,2900.18
11676,2925.9
11677,2889.24
11678,2889.28
11679,2950.75
11680,3061.34
11681,3400.02
11682,3400.57
11683,3600.99
11684,4200.59
11685,3800.55
11686,3870.18
11687,4524.29
11688,5111.36
11689,4800.62
11690,5250.99
11691,6000.81
11692,5899.63
11693,4900.88
11694,5100.93
11695,4900.48
11696,4400.04
11697,3711.18
11698,3448.58
11699,3269.26
11700,2996.35
11701,2896.24
11702,2895.1
11703,2892.16
11704,2724.38
11705,2500.76
11706,2451.99
11707,2500.69
11708,2500.79
11709,2100.05
11710,2089.24
11711,2118.44
11712,2001.5
14593,2150.64
14594,2150.47
14595,2201.4
14596,2149.18
14597,2000.97
14598,1999.72
14599,1999.42
14600,1999.17
14601,1916.98
14602,1900.45
14603,1900.32
14604,1816.83
14605,1900.48
14606,1916.76
14607,1987.65
14608,1987.46
14609,1999.17
14610,2000.85
14611,2128.39
14612,2200.6
14613,2130.13
14614,2015.33
14615,2128.04
14616,2250.34
14617,2580.26
14618,2759.65
14619,3000.43
14620,3500.0
14621,3579.23
14622,4292.0
14623,4900.13
14624,5700.11
14625,5250.82
14626,5300.01
14627,6000.16
14628,4900.64
14629,6000.8
14630,6500.06
14631,5899.38
14632,5250.01
14633,4200.85
14634,4291.53
14635,4552.79
14636,4291.49
14637,3701.87
14638,3349.82
14639,2824.68
14640,2850.91
14641,3111.58
14642,3166.56
14643,3000.24
14644,2824.83
14645,2669.64
14646,2580.5
14647,2581.0
14648,2600.7
14649,2723.73
14650,2723.87
14651,2735.03
14652,2759.14
14653,2759.13
14654,2759.26
14655,2824.96
14656,3000.81
14657,3051.19
14658,3349.84
14659,3980.97
14660,4603.37
14661,3821.57
14662,4300.32
14663,5073.15
14664,5510.24
14665,5471.69
14666,6000.51
14667,6806.73
14668,6305.47
14669,5682.75
14670,5734.8
14671,5614.8
14672,4900.67
14673,4100.41
14674,3700.12
14675,3369.25
14676,3111.42
14677,2999.32
14678,2994.97
14679,2991.73
14680,2901.86
14681,2579.01
14682,2579.3
14683,2398.47
14684,2699.61
14685,2213.08
14686,2208.14
14687,2206.3
14688,2203.8
17473,2120.63
17474,2213.42
17475,2205.44
17476,2205.97
17477,2204.59
17478,2204.11
17479,2202.4
17480,2201.11
17481,2102.03
17482,2101.46
17483,2100.45
17484,2100.53
17485,2011.75
17486,2000.79
17487,2015.28
17488,2000.26
17489,2000.23
17490,2150.49
17491,2158.73
17492,2205.21
17493,2205.91
17494,2205.87
17495,2205.98
17496,2398.17
17497,2723.93
17498,2894.33
17499,2939.98
17500,3000.04
17501,2939.7
17502,2939.29
17503,2759.73
17504,2759.45
17505,3068.44
17506,3269.04
17507,3269.97
17508,3269.41
17509,3269.63
17510,3269.97
17511,3600.89
17512,3985.28
17513,3500.64
17514,3499.66
17515,3499.53
17516,3489.4
17517,3489.66
17518,3489.27
17519,3200.53
17520,3200.39
17521,3437.9
17522,3437.88
17523,3170.72
17524,2819.95
17525,2900.34
17526,2894.28
17527,2740.0
17528,2759.69
17529,2724.39
17530,2723.72
17531,2659.78
17532,2723.47
17533,2723.78
17534,2739.29
17535,2759.28
17536,2759.99
17537,2789.81
17538,2939.76
17539,3333.02
17540,3489.1
17541,2894.23
17542,2911.49
17543,3269.47
17544,3337.38
17545,3489.45
17546,3811.62
17547,4243.89
17548,4246.19
17549,4101.2
17550,4229.16
17551,4129.19
17552,3750.61
17553,3248.57
17554,3245.28
17555,3242.96
17556,3068.9
17557,2799.35
17558,2709.77
17559,2699.8
17560,1999.98
17561,2300.52
17562,2320.5
17563,2099.42
17564,2050.86
17565,2398.03
17566,2564.17
17567,2398.58
17568,2200.8
20449,1999.63
20450,1999.11
20451,1986.48
20452,1986.01
20453,1950.06
20454,1916.85
20455,1916.53
20456,1879.83
20457,1879.02
20458,1866.96
