*Interval,Price (Rs./MWh)
1,2994.33
2,2900.35
3,2565.79
4,2539.25
5,2599.25
6,2565.64
7,2345.87
8,2345.14
9,2232.67
10,2100.99
11,2012.12
12,2109.58
13,2218.71
14,2237.32
15,2263.24
16,2265.21
17,2334.27
18,2345.08
19,2539.16
20,2950.32
21,3085.68
22,3090.19
23,3167.1
24,3167.97
25,3447.19
26,3617.77
27,3302.0
28,3501.64
29,2375.26
30,3410.57
31,3921.58
32,3999.84
33,3640.54
34,3501.63
35,3855.37
36,3863.43
37,4474.08
38,4621.58
39,4474.47
40,4100.7
41,3837.38
42,3510.1
43,3500.99
44,3401.22
45,2800.89
46,2969.63
47,2750.12
48,2300.46
49,3020.2
50,3085.31
51,2969.59
52,2273.1
53,1448.2
54,1448.53
55,924.51
56,924.48
57,919.26
58,999.75
59,924.79
60,1599.63
61,2334.27
62,2975.9
63,2800.65
64,2811.58
65,3200.81
66,3640.27
67,3999.7
68,4299.33
69,3720.05
70,3590.17
71,3999.86
72,4099.66
73,5298.68
74,5500.7
75,5056.13
76,4890.47
77,3999.1
78,3700.25
79,3564.8
80,3400.89
81,2800.18
82,2789.26
83,3539.12
84,3600.33
85,3363.74
86,3363.81
87,3320.93
88,3119.33
89,2994.79
90,2789.73
91,2789.33
92,2800.43
93,2251.71
94,2225.93
95,2345.34
96,2225.79
97,2345.47
98,2565.0
99,2265.31
100,2234.07
101,2224.29
102,2099.22
103,1967.14
104,1967.22
105,1700.72
106,1499.32
107,1700.45
108,1700.41
109,1807.59
110,1944.29
111,1944.24
112,1944.56
113,1944.94
114,1967.1
115,2100.88
116,2237.94
117,2799.89
118,3414.04
119,2799.26
120,2994.35
121,2539.03
122,3775.84
123,3279.61
124,3090.71
125,3200.73
126,3863.55
127,4361.46
128,4598.47
129,4567.78
130,4598.12
131,4598.71
132,4900.19
133,5500.9
134,5000.62
135,4890.16
136,4095.96
137,3850.27
138,3020.34
139,3090.5
140,2830.92
141,3310.38
142,3167.6
143,3167.69
144,3085.12
145,2969.73
146,2800.01
147,2539.36
148,2225.91
149,2500.7
150,2539.93
151,2237.69
152,2240.41
153,1199.11
154,1199.69
155,1249.78
156,2218.74
157,2539.55
158,2800.12
159,2500.01
160,2500.58
161,3759.52
162,3999.59
163,4291.96
164,5001.88
165,4500.81
166,5056.38
167,9999.09
168,10000.0
169,10000.0
170,10000.0
171,10000.0
172,10000.0
173,10000.0
174,10000.0
175,9172.0
176,4800.41
177,5298.64
178,4600.89
179,4291.89
180,3969.86
181,3969.15
182,3886.52
183,3750.39
184,3739.26
185,2999.86
186,3100.56
187,3090.49
188,3059.62
189,2928.8
190,2874.0
191,2800.05
192,2572.5
193,2800.33
194,3127.24
195,2865.74
196,2684.42
197,2550.56
198,2400.1
199,2315.28
200,2265.73
201,2345.13
202,2334.65
203,2334.79
204,2334.21
205,2261.23
206,2249.59
207,2334.48
208,2345.94
209,2344.93
210,2375.11
211,2406.91
212,2410.07
213,2818.69
214,3090.2
215,3090.98
216,3299.57
217,3510.43
218,3802.23
219,4094.87
220,4291.61
221,4265.3
222,5500.74
223,6005.95
224,10000.0
225,10000.0
226,10000.0
227,10000.0
228,10000.0
229,10000.0
230,10000.0
231,4849.49
232,4499.85
233,4291.2
234,3863.16
235,3687.41
236,3549.2
237,3855.12
238,3687.66
239,3549.79
240,3200.4
241,2843.46
242,3090.41
243,3090.55
244,3020.83
245,2799.3
246,2519.35
247,2799.4
248,2994.32
249,2999.4
250,2846.41
251,2799.45
252,2999.44
253,2994.53
254,2999.92
255,3350.37
256,3750.94
257,3564.72
258,4062.2
259,4093.88
260,4621.46
261,5303.38
262,5500.63
263,10000.0
264,10000.0
265,10000.0
266,10000.0
267,10000.0
268,10000.0
269,10000.0
270,10000.0
271,10000.0
272,10000.0
273,9999.18
274,5298.48
275,4420.32
276,3999.3
277,3739.41
278,3759.12
279,3739.72
280,3759.96
281,3447.03
282,3447.72
283,3447.3
284,3400.41
285,3100.43
286,2950.25
287,3167.09
288,3254.57
289,2818.92
290,2843.72
291,2994.56
292,2999.33
293,2818.85
294,2579.36
295,2345.78
296,2224.96
297,2186.54
298,2186.97
299,2334.05
300,2334.7
301,2273.97
302,2224.7
303,2159.9
304,2200.33
305,2345.66
306,2563.96
307,3167.34
308,3167.97
309,3300.01
310,3447.95
311,3689.32
312,3689.75
313,3969.08
314,4287.97
315,4625.45
316,5200.13
317,6000.11
318,10000.0
319,10000.0
320,10000.0
321,10000.0
322,10000.0
323,10000.0
324,10000.0
325,9910.03
326,7999.18
327,4351.12
328,4000.37
329,3687.02
330,3687.99
331,3501.03
332,3350.38
333,3001.99
334,3090.83
335,3502.0
336,3447.88
337,3401.98
338,3401.12
339,3300.58
340,3090.85
341,1200.96
