*Interval,Price (Rs./MWh)
97,2246.24
98,2133.35
99,2113.98
100,2113.64
101,2100.58
102,2023.76
103,2023.17
104,2010.76
105,2010.23
106,2010.26
107,1999.79
108,1999.8
109,1999.84
110,1999.9
111,1999.87
112,1999.87
113,1999.59
114,2010.35
115,2113.01
116,2113.77
117,2539.52
118,2689.59
119,2814.39
120,3099.77
121,3425.64
122,3699.56
123,4319.74
124,6060.53
125,5999.86
126,7200.76
127,7500.73
128,7500.81
129,7500.53
130,7500.44
131,7500.51
132,7500.31
133,7500.18
134,7500.33
135,7500.31
136,7500.19
137,6050.69
138,5645.98
139,5645.29
140,6050.23
141,5645.31
142,5645.71
143,5000.37
144,4500.24
145,4509.69
146,3999.11
147,4350.43
148,3800.15
149,3425.04
150,3328.26
151,3150.09
152,3024.1
153,2650.43
154,2568.54
155,2568.6
156,2568.44
157,2600.57
158,2689.15
159,2742.15
160,2761.77
161,2878.02
162,3024.53
163,3728.14
164,3979.38
165,3663.81
166,3979.33
167,5000.81
168,8500.44
169,8500.71
170,11111.3
171,11111.12
172,8800.85
173,8800.45
174,8500.82
175,8500.51
176,8370.25
177,4569.6
178,4410.45
179,4100.99
180,4090.94
181,4065.0
182,3747.89
183,3742.97
184,3659.06
185,3200.56
186,3095.41
187,3024.89
188,2939.35
189,2568.96
190,2561.19
191,2505.77
192,2250.03
3073,2405.41
3074,2402.64
3075,2400.97
3076,2260.63
3077,2246.54
3078,2200.84
3079,2133.68
3080,2125.57
3081,2113.4
3082,2113.04
3083,2023.72
3084,2023.8
3085,2023.32
3086,2023.14
3087,2022.92
3088,2023.12
3089,2016.78
3090,2023.79
3091,2118.12
3092,2133.61
3093,2561.13
3094,2742.3
3095,3000.21
3096,3159.72
3097,3500.85
3098,4210.38
3099,4999.65
3100,6989.68
3101,6900.89
3102,8010.65
3103,8011.0
3104,7777.73
3105,7500.76
3106,7500.43
3107,7500.23
3108,7500.05
3109,7500.29
3110,7500.62
3111,7500.93
3112,8010.07
3113,7500.14
3114,7500.89
3115,7999.58
3116,8602.95
3117,8127.37
3118,7500.73
3119,5645.67
3120,5211.0
3121,5020.65
3122,4610.79
3123,4910.46
3124,4510.02
3125,3425.88
3126,3420.63
3127,3200.27
3128,3024.71
3129,2814.6
3130,2761.17
3131,2761.38
3132,2800.24
3133,2761.69
3134,2755.73
3135,2761.03
3136,3020.07
3137,3024.95
3138,3499.78
3139,4000.69
3140,4510.31
3141,4689.19
3142,5646.0
3143,7500.74
3144,8510.99
3145,9999.21
3146,12000.6
3147,14501.36
3148,14426.79
3149,12000.46
3150,9999.55
3151,8510.92
3152,9350.59
3153,5801.04
3154,5110.84
3155,4710.56
3156,4710.51
3157,4710.19
3158,4000.72
3159,3598.03
3160,3593.53
3161,3419.69
3162,3095.76
3163,3002.93
3164,2738.55
3165,2539.29
3166,2251.52
3167,2010.74
3168,2010.08
5761,2504.53
5762,2502.24
5763,2500.22
5764,2260.33
5765,2250.35
5766,2246.5
5767,2246.31
5768,2210.38
5769,2125.54
5770,2118.48
5771,2113.07
5772,2050.29
5773,2023.78
5774,2050.02
5775,2023.89
5776,2023.68
5777,2023.16
5778,2023.97
5779,2110.91
5780,2113.91
5781,2349.28
5782,2561.59
5783,2814.96
5784,3095.88
5785,3425.57
5786,3989.41
5787,5800.08
5788,7500.44
5789,7500.45
5790,7500.64
5791,7500.47
5792,7500.46
5793,7500.67
5794,7500.51
5795,7500.64
5796,7500.43
5797,7500.24
5798,7500.61
5799,8000.01
5800,8000.2
5801,7500.82
5802,7500.92
5803,7500.7
5804,7500.85
5805,7500.51
5806,7500.27
5807,5989.27
5808,5645.75
5809,5000.2
5810,4000.32
5811,4606.39
5812,3900.14
5813,3425.72
5814,3425.43
5815,3420.16
5816,3060.25
5817,2890.16
5818,2738.3
5819,2710.07
5820,2720.31
5821,2738.14
5822,2742.75
5823,2900.07
5824,3024.02
5825,3150.12
5826,3328.28
5827,4000.74
5828,4954.84
5829,6500.43
5830,6500.68
5831,8000.53
5832,8520.79
5833,8000.89
5834,12510.19
5835,15000.54
5836,15000.46
5837,12510.5
5838,10510.69
5839,9999.4
5840,9999.58
5841,6510.25
5842,5510.27
5843,5240.44
5844,5000.85
5845,5296.27
5846,4410.36
5847,3993.46
5848,3609.14
5849,3419.07
5850,3164.41
5851,3024.29
5852,2868.79
5853,2568.82
5854,2561.05
5855,2552.16
5856,2514.78
8737,2200.75
8738,2194.15
8739,2200.06
8740,2133.16
8741,2118.52
8742,2113.49
8743,2113.34
8744,2113.17
8745,2023.5
8746,2023.21
8747,2022.5
8748,2022.02
8749,1999.93
8750,1999.84
8751,1999.9
8752,1999.64
8753,1999.44
8754,2000.48
8755,2022.53
8756,2023.53
8757,2246.01
8758,2514.03
8759,2738.24
8760,3000.81
8761,3420.58
8762,3509.98
8763,4100.27
8764,5000.51
8765,5999.04
8766,7500.36
8767,7500.42
8768,7500.36
8769,7500.31
8770,6989.34
8771,4600.64
8772,4300.2
8773,7399.48
8774,7500.08
8775,7500.15
8776,7500.17
8777,7500.11
8778,7500.35
8779,7500.56
8780,8000.28
8781,8000.43
8782,8000.5
8783,6510.56
8784,6510.31
8785,5200.19
8786,4500.05
8787,4444.32
8788,3691.86
8789,3425.99
8790,3425.44
8791,3420.55
8792,3024.97
8793,3000.06
8794,2738.48
8795,2738.75
8796,2730.22
8797,2867.78
8798,2900.54
8799,3000.97
8800,3024.62
8801,3150.13
8802,3289.28
8803,3500.26
8804,3979.94
8805,5800.58
8806,7500.37
8807,8000.11
8808,8000.49
8809,7500.99
8810,12810.01
8811,15310.1
8812,12000.97
8813,8279.63
8814,9231.14
8815,8000.2
8816,8000.63
8817,5999.68
8818,5000.68
8819,4749.26
8820,4747.72
8821,4744.62
8822,3999.15
8823,3744.2
8824,3509.63
8825,3419.41
8826,3149.97
8827,3024.48
8828,2989.44
8829,2650.26
8830,2600.1
8831,2561.71
8832,2561.38
11617,2260.05
11618,2250.25
11619,2246.1
11620,2133.3
11621,2133.13
11622,2118.85
11623,2113.59
11624,2113.31
11625,2023.91
11626,2023.53
11627,2022.46
11628,1999.97
11629,1999.67
11630,1999.56
11631,1999.53
11632,1999.55
11633,1999.33
11634,1999.84
11635,2023.05
11636,2093.75
11637,2349.86
11638,2561.43
11639,2700.27
11640,2900.27
11641,3328.2
11642,3526.96
11643,4200.3
11644,5610.01
11645,6359.06
11646,7500.16
11647,7500.74
11648,7500.61
11649,7500.27
11650,6989.59
11651,4989.76
11652,4950.13
11653,5000.43
11654,5000.76
11655,5000.54
11656,5645.29
11657,4989.48
11658,5500.18
11659,5500.54
11660,4989.44
11661,3979.06
11662,4989.06
11663,4989.65
11664,4319.71
11665,4500.75
11666,4500.75
11667,3649.08
11668,3500.04
11669,3420.18
11670,3202.2
11671,3024.8
11672,2820.3
11673,2689.1
11674,2620.53
11675,2600.68
11676,2568.21
11677,2650.86
11678,2650.35
11679,2761.54
11680,2920.49
11681,3000.05
11682,3000.9
11683,3498.83
11684,3499.78
11685,3979.46
11686,5999.43
11687,7399.15
11688,7500.12
11689,7500.64
11690,8000.55
11691,10781.63
11692,8000.61
11693,8000.16
11694,8000.24
11695,7989.02
11696,7500.57
11697,5000.75
11698,4500.76
11699,4499.05
11700,4494.05
11701,4493.71
11702,3500.0
11703,3494.9
11704,3451.0
11705,3339.17
11706,3088.26
11707,2989.93
11708,2920.43
11709,2624.8
11710,2568.76
11711,2561.68
11712,2539.51
14593,2406.08
14594,2404.23
14595,2402.18
14596,2400.62
14597,2250.74
14598,2246.4
14599,2246.02
14600,2133.53
14601,2125.81
14602,2118.69
14603,2113.87
14604,2113.16
14605,2023.8
14606,2023.84
14607,2023.99
14608,2023.78
14609,2023.54
14610,2113.57
14611,2133.11
14612,2246.9
14613,2561.58
14614,2710.33
14615,2910.71
14616,3024.54
14617,3425.17
14618,3810.33
14619,4610.06
14620,5645.33
14621,5000.78
14622,5005.16
14623,5008.92
14624,5002.13
14625,5000.99
14626,4509.44
14627,4319.35
14628,3900.22
14629,3500.44
14630,3499.82
14631,3499.8
14632,3900.27
14633,3588.79
14634,3750.55
14635,3979.93
14636,3691.82
14637,3979.67
14638,3800.54
14639,3710.81
14640,3696.0
14641,3979.21
14642,3979.84
14643,3582.5
14644,3499.0
14645,3200.79
14646,3024.24
14647,3000.2
14648,2738.33
14649,2600.36
14650,2568.67
14651,2568.62
14652,2561.88
14653,2561.28
14654,2561.54
14655,2706.92
14656,2750.93
14657,2761.71
14658,2920.52
14659,3024.82
14660,3290.58
14661,3289.13
14662,3499.19
14663,3500.28
14664,3989.02
14665,4151.17
14666,4497.02
14667,4498.09
14668,4499.27
14669,4496.5
14670,4491.14
14671,4494.14
14672,4494.98
14673,3930.82
14674,3749.03
14675,3745.68
14676,3743.89
14677,3730.41
14678,3497.03
14679,3492.5
14680,3419.01
14681,3169.39
14682,3024.43
14683,2989.3
14684,2761.61
14685,2568.55
14686,2561.39
14687,2539.34
14688,2507.49
17473,2251.91
17474,2250.25
17475,2246.53
17476,2246.01
17477,2125.5
17478,2113.86
17479,2113.51
17480,2113.1
17481,2109.06
17482,2023.95
17483,2023.5
17484,2022.66
17485,2022.05
17486,2018.42
17487,2022.07
17488,2018.06
17489,2018.7
17490,2023.75
17491,2113.17
17492,2125.76
17493,2509.3
17494,2568.18
17495,2761.79
17496,3000.91
17497,3339.07
17498,3659.88
17499,4100.51
17500,5000.46
17501,5000.38
17502,7500.16
17503,7500.28
17504,7500.17
17505,7500.06
17506,5645.05
17507,5000.76
17508,4500.82
17509,6250.01
17510,6250.05
17511,6250.31
17512,6770.71
17513,6770.7
17514,7408.72
17515,7500.08
17516,7408.1
17517,6989.58
17518,6170.96
17519,6170.46
17520,5570.13
17521,5570.11
17522,5570.11
17523,4220.5
17524,3600.37
17525,3499.23
17526,3425.42
17527,3412.35
17528,3202.43
17529,3020.94
17530,2999.66
17531,2999.12
17532,3000.01
17533,3000.16
17534,3000.82
17535,3143.34
17536,3231.83
17537,3328.68
17538,3499.71
17539,4400.49
17540,4650.73
17541,5020.14
17542,7020.22
17543,6702.67
17544,6702.45
17545,5629.04
17546,7408.76
17547,8000.87
17548,8000.55
17549,7500.25
17550,6498.09
17551,6497.25
17552,6359.51
17553,4509.87
17554,4500.41
17555,4319.28
17556,4300.13
17557,4319.85
17558,3979.22
17559,3509.02
17560,3496.38
17561,3425.05
17562,3200.76
17563,3088.44
17564,3024.3
17565,2755.26
17566,2654.35
17567,2624.26
17568,2568.33
20449,2401.7
20450,2400.04
20451,2350.72
20452,2300.64
20453,2250.04
20454,2246.25
20455,2129.98
20456,2129.04
20457,2113.77
20458,2113.43
20459,2109.95
20460,2088.16
20461,2023.77
20462,2022.84
20463,2022.89
20464,2022.06
20465,2023.19
20466,2088.93
20467,2113.68
20468,2129.36
20469,2561.3
20470,2738.46
20471,2868.87
20472,3000.22
20473,3328.01
20474,3798.59
20475,4399.98
20476,5610.4
20477,6000.12
20478,7500.15
20479,7500.18
20480,7500.04
20481,7500.02
20482,6110.38
20483,4500.13
20484,4319.63
20485,5000.95
20486,4087.33
20487,5645.85
20488,7408.5
20489,5000.16
20490,6100.02
20491,6145.09
20492,5000.74
20493,4989.24
20494,6810.01
20495,4498.52
20496,4491.03
20497,4319.76
20498,4000.04
20499,3545.7
20500,3425.11
20501,3024.76
20502,2890.6
20503,2738.2
20504,2568.66
20505,2561.17
20506,2555.14
20507,2561.37
20508,2568.46
20509,2561.81
20510,2568.26
20511,2568.72
20512,2736.39
20513,2890.94
20514,3024.79
20515,3499.94
20516,4480.07
20517,4410.5
20518,4610.64
20519,4250.9
20520,5000.8
20521,4600.68
20522,5495.11
20523,5500.6
20524,5498.48
20525,5000.84
20526,4709.6
20527,5200.89
20528,5497.7
20529,3999.99
20530,3998.52
20531,3996.33
20532,3993.84
20533,3991.35
20534,3495.01
20535,3419.12
20536,3169.83
20537,3088.34
20538,3019.49
20539,2989.55
20540,2989.19
20541,2736.06
20542,2585.47
20543,2561.48
20544,2458.74
23425,2501.28
23426,2500.37
23427,2492.24
23428,2300.94
23429,2246.97
23430,2246.18
23431,2200.02
23432,2129.26
23433,2113.98
23434,2113.64
23435,2109.96
23436,2088.95
23437,2023.78
23438,2023.5
23439,2023.37
23440,2023.45
23441,2088.89
23442,2113.76
23443,2129.81
23444,2251.95
23445,2561.8
23446,2755.0
23447,2920.96
23448,3143.02
23449,3412.94
23450,4100.47
23451,4910.87
23452,6600.11
23453,7100.64
23454,7500.57
23455,7500.62
23456,7500.34
23457,7500.42
23458,7500.4
23459,7500.31
23460,7500.19
23461,7500.12
23462,7500.05
23463,7000.44
23464,7000.06
23465,4499.34
23466,4100.87
23467,4100.85
23468,5645.51
23469,5510.2
23470,4989.64
23471,4499.93
23472,3979.52
23473,3600.82
23474,3425.72
23475,3412.27
23476,3139.15
23477,2738.49
23478,2599.54
23479,2561.73
23480,2555.14
23481,2514.2
23482,2269.85
23483,2450.77
23484,2462.4
23485,2555.15
23486,2561.92
23487,2650.69
23488,2738.67
23489,3024.13
23490,3024.25
23491,3499.14
23492,3500.44
23493,4600.72
23494,5999.68
23495,6000.23
23496,6359.42
23497,5110.7
23498,5210.48
23499,4998.15
23500,4998.0
23501,4997.0
23502,4994.69
23503,4996.64
23504,4999.02
23505,4000.03
23506,3756.0
23507,3744.77
23508,3741.41
23509,3700.18
23510,3609.17
23511,3339.85
23512,3169.49
23513,3024.4
23514,2989.91
23515,2989.43
23516,2899.34
23517,2650.04
23518,2561.89
23519,2556.48
23520,2555.28
26305,2552.99
26306,2551.38
26307,2551.32
26308,2539.46
26309,2351.84
26310,2260.72
26311,2246.89
26312,2246.52
26313,2129.87
26314,2129.55
26315,2125.53
26316,2113.98
26317,2113.32
26318,2113.29
26319,2113.34
26320,2113.23
26321,2113.43
26322,2129.74
26323,2246.75
26324,2349.17
26325,2568.96
26326,2761.88
26327,3024.19
26328,3169.5
26329,3509.75
26330,4500.5
26331,5610.36
26332,6359.7
26333,7500.74
26334,7500.82
26335,7676.54
26336,8000.75
26337,8000.57
26338,8000.23
26339,7500.42
26340,7500.49
26341,7500.73
26342,7500.83
26343,7500.7
26344,7500.68
26345,5999.21
26346,5645.09
26347,5000.8
26348,6010.6
