*Interval,Price (Rs./MWh)
97,2307.39
98,2229.97
99,2110.64
100,2110.08
101,2110.29
102,2104.76
103,2090.88
104,2090.62
105,2090.66
106,2090.46
107,2068.17
108,1950.92
109,1959.69
110,1950.59
111,2000.36
112,2068.01
113,1922.84
114,2090.04
115,2110.4
116,2145.5
117,2350.76
118,2429.05
119,2479.41
120,2429.93
121,2799.81
122,2926.49
123,4057.97
124,4408.17
125,4408.05
126,4750.32
127,5000.56
128,5000.76
129,6223.69
130,6223.78
131,6500.5
132,6741.18
133,8649.69
134,9400.89
135,9402.08
136,9402.08
137,9404.22
138,9404.04
139,9405.84
140,9405.45
141,9406.85
142,9406.8
143,9406.59
144,9406.27
145,7762.15
146,6500.96
147,6500.83
148,6500.69
149,4420.29
150,4300.78
151,3999.85
152,3999.73
153,4000.33
154,4116.02
155,3999.83
156,3999.29
157,3999.56
158,3999.59
159,3999.81
160,4000.05
161,5145.73
162,5145.98
163,5145.92
164,5145.96
165,4113.78
166,6500.15
167,4413.72
168,4413.86
169,4880.27
170,4989.41
171,5000.8
172,4981.4
173,4479.05
174,4413.98
175,4413.42
176,5174.19
177,6500.04
178,4900.59
179,4900.33
180,4311.35
181,3999.31
182,3999.25
183,3529.89
184,3524.04
185,3537.92
186,3529.39
187,3089.19
188,2733.3
189,2699.72
190,2699.34
191,2649.31
192,2489.31
3073,2000.2
3074,1999.32
3075,1922.25
3076,1801.88
3077,1922.61
3078,1922.38
3079,1922.21
3080,1922.06
3081,1900.79
3082,1801.95
3083,1801.54
3084,1801.39
3085,1801.3
3086,1801.22
3087,1800.01
3088,1800.4
3089,1749.72
3090,1749.9
3091,1801.32
3092,1899.74
3093,1999.1
3094,2068.28
3095,2384.68
3096,2394.2
3097,2679.96
3098,2926.03
3099,3600.73
3100,3678.71
3101,4008.36
3102,4413.53
3103,5000.12
3104,5000.44
3105,5469.37
3106,6500.29
3107,6500.45
3108,6500.56
3109,10763.2
3110,10763.45
3111,10763.52
3112,10763.44
3113,11293.41
3114,11293.36
3115,11293.26
3116,11293.3
3117,10942.5
3118,10942.5
3119,10942.43
3120,10942.33
3121,6500.96
3122,6500.62
3123,6500.28
3124,4500.88
3125,4000.74
3126,3488.75
3127,3529.39
3128,3529.55
3129,3689.96
3130,3689.78
3131,3909.66
3132,3909.58
3133,3689.78
3134,3689.76
3135,3909.46
3136,3909.06
3137,3999.36
3138,4000.09
3139,4469.7
3140,6464.05
3141,3749.35
3142,3733.36
3143,4008.05
3144,3750.97
3145,3678.89
3146,3678.64
3147,3708.89
3148,3899.77
3149,3678.7
3150,3733.87
3151,3789.33
3152,4194.05
3153,3898.81
3154,3949.74
3155,4000.62
3156,3898.45
3157,3697.4
3158,3693.41
3159,3400.62
3160,2742.28
3161,2699.6
3162,2699.21
3163,2699.02
3164,2368.9
3165,2483.65
