Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
        1.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2375.60,     2375.60
        2.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2362.10,     2362.10
        3.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2340.93,     2340.93
        4.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2340.88,     2340.88
        5.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2354.05,     2354.05
        6.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2399.45,     2399.45
        7.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2360.60,     2360.60
        8.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2360.30,     2360.30
        9.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2299.34,     2299.34
       10.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2303.10,     2303.10
       11.00,      500.00,        0.00,        0.00,     1115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2239.80,     2239.80
       12.00,      500.00,        0.00,        0.00,     1230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2229.78,     2229.78
       13.00,      500.00,        0.00,        0.00,     1345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2095.00,     2095.00
       14.00,      500.00,        0.00,        0.00,     1460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2178.51,     2178.51
       15.00,      500.00,        0.00,        0.00,     1575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2186.47,     2186.47
       16.00,      500.00,        0.00,        0.00,     1690.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2190.66,     2190.66
       17.00,      347.83,        0.00,        0.00,     1770.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2261.92,     2261.92
