Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
       45.00,        0.00,      500.00,        0.00,      505.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5507.27,     5507.27
       46.00,        0.00,      500.00,        0.00,      369.57,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5504.15,     5504.15
       47.00,        0.00,      360.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.09,     4468.09
       48.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4469.00,     4469.00
       49.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.56,     4468.56
       50.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.91,     4468.91
       51.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3868.76,     3868.76
       52.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3863.39,     3863.39
       53.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3408.50,     3408.50
       54.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3408.86,     3408.86
       55.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3337.03,     3337.03
       56.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3120.21,     3120.21
       57.00,      347.83,        0.00,        0.00,      310.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     3337.56,     3337.56
       58.00,        0.00,        0.00,        0.00,      310.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3494.00,     3494.00
       59.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3151.90,     3151.90
       60.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3143.78,     3143.78
       61.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2999.83,     2999.83
       62.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2999.78,     2999.78
       63.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3000.82,     3000.82
       64.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3320.83,     3320.83
       65.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.27,     3415.27
       66.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3699.47,     3699.47
       67.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3899.87,     3899.87
       68.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3749.86,     3749.86
       69.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3416.57,     3416.57
       70.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3744.37,     3744.37
       71.00,        0.00,        0.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3510.71,     3510.71
       72.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3899.46,     3899.46
       73.00,        0.00,        0.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3689.85,     3689.85
       74.00,        0.00,      180.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3744.07,     3744.07
       75.00,        0.00,        0.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3470.69,     3470.69
       76.00,        0.00,      500.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3744.30,     3744.30
       77.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4065.73,     4065.73
       78.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3961.46,     3961.46
       79.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3423.63,     3423.63
       80.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3399.88,     3399.88
       81.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3479.02,     3479.02
       82.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3423.87,     3423.87
       83.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3120.72,     3120.72
       84.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3120.49,     3120.49
       85.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2999.06,     2999.06
       86.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2969.77,     2969.77
       87.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2599.14,     2599.14
       88.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2499.62,     2499.62
       89.00,      195.65,        0.00,        0.00,      275.00,        0.00,        0.00,      195.65,        0.00,        0.00,        0.00,     2720.01,     2720.01
       90.00,      500.00,        0.00,        0.00,      390.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2499.26,     2499.26
       91.00,      500.00,        0.00,        0.00,      505.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2200.65,     2200.65
       92.00,      500.00,        0.00,        0.00,      620.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2303.02,     2303.02
       93.00,      500.00,        0.00,        0.00,      735.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2139.62,     2139.62
       94.00,      500.00,        0.00,        0.00,      850.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2139.73,     2139.73
       95.00,      500.00,        0.00,        0.00,      965.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2270.78,     2270.78
       96.00,      500.00,        0.00,        0.00,     1080.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2538.13,     2538.13
       97.00,        0.00,        0.00,        0.00,     1080.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2720.42,     2720.42
       98.00,        0.00,        0.00,        0.00,     1080.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2940.15,     2940.15
       99.00,        0.00,        0.00,        0.00,     1080.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3000.62,     3000.62
      100.00,        0.00,        0.00,        0.00,     1080.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2939.48,     2939.48
      101.00,        0.00,        0.00,        0.00,     1080.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2720.03,     2720.03
      102.00,        0.00,        0.00,        0.00,     1080.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2878.70,     2878.70
      103.00,      500.00,        0.00,        0.00,     1195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2451.06,     2451.06
      104.00,      500.00,        0.00,        0.00,     1310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2700.04,     2700.04
      105.00,      500.00,        0.00,        0.00,     1425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2520.76,     2520.76
      106.00,      500.00,        0.00,        0.00,     1540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2225.47,     2225.47
      107.00,        0.00,        0.00,        0.00,     1540.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2940.20,     2940.20
      108.00,        0.00,        0.00,        0.00,     1540.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2940.59,     2940.59
      109.00,      500.00,        0.00,        0.00,     1655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2702.94,     2702.94
      110.00,        0.00,        0.00,        0.00,     1655.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2806.92,     2806.92
      111.00,      500.00,        0.00,        0.00,     1770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2149.37,     2149.37
      112.00,      500.00,        0.00,        0.00,     1885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2149.99,     2149.99
      113.00,      500.00,        0.00,        0.00,     2000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2246.92,     2246.92
      114.00,        0.00,        0.00,        0.00,     2000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2878.86,     2878.86
      115.00,        0.00,        0.00,        0.00,     2000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.04,     3499.04
      116.00,        0.00,        0.00,        0.00,     2000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3500.09,     3500.09
      117.00,        0.00,        0.00,        0.00,     2000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3582.11,     3582.11
