Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
        1.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1730.42,     1730.42
        2.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1730.19,     1730.19
        3.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1689.91,     1689.91
        4.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1573.95,     1573.95
        5.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1205.92,     1205.92
        6.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1183.04,     1183.04
        7.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1000.89,     1000.89
        8.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1000.27,     1000.27
        9.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      895.97,      895.97
       10.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      799.97,      799.97
       11.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      799.89,      799.89
       12.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      799.80,      799.80
       13.00,      386.58,        0.00,        0.00,      588.91,        0.00,        0.00,      386.58,        0.00,        0.00,        0.00,      799.78,      799.78
       14.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      799.94,      799.94
       15.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      854.00,      854.00
       16.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      899.36,      899.36
       17.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      899.99,      899.99
       18.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1184.91,     1184.91
       19.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1573.00,     1573.00
       20.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1573.60,     1573.60
       21.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1573.05,     1573.05
       22.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1205.37,     1205.37
       23.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1500.09,     1500.09
       24.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,      799.92,      799.92
       25.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.91,     1999.91
       26.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.68,     1999.68
       27.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.40,     1999.40
       28.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.22,     1999.22
       29.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1998.07,     1998.07
       30.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1859.80,     1859.80
       31.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1850.45,     1850.45
       32.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1989.79,     1989.79
       33.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2149.15,     2149.15
       34.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2159.47,     2159.47
       35.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2149.29,     2149.29
       36.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2347.96,     2347.96
       37.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2399.67,     2399.67
       38.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2499.07,     2499.07
       39.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2499.65,     2499.65
       40.00,        0.00,        0.00,        0.00,      588.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2499.97,     2499.97
