Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (Binary),Cool Down Period 1 (MW-h),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase ($/MWh)
      690.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.07,     1549.04
      691.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.55,     1449.06
      692.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.95,     1549.01
      693.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.88,     1499.53
      694.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2167.68,     1499.59
      695.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2411.22,     1599.79
      696.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2505.90,     1959.26
      697.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2779.09,     2149.00
      698.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3381.82,     2697.07
      699.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3569.93,     2012.94
      700.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3700.03,     2349.50
      701.00,        0.00,      180.00,        0.00,      951.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3879.86,     2012.93
      702.00,        0.00,      500.00,        0.00,      815.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3989.44,     2899.61
      703.00,        0.00,      500.00,        0.00,      679.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3989.06,     3098.00
      704.00,        0.00,      500.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3989.44,     3416.70
      705.00,        0.00,      500.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4200.79,     2012.90
      706.00,        0.00,      500.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4391.41,     2702.65
      707.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4800.21,     3163.32
      708.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4750.64,     2949.79
      709.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3709.97,     2909.04
      710.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3750.64,     2909.17
      711.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3709.86,     2720.12
      712.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3709.79,     2599.69
      713.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3709.12,     3151.78
      714.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3750.73,     3230.97
      715.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.22,     3610.84
      716.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3750.31,     3372.55
      717.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3709.13,     3372.56
      718.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3777.28,     3149.16
      719.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3709.71,     2680.64
      720.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3656.06,     2599.76
      721.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3479.06,     2700.24
      722.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.94,     2722.03
      723.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3333.77,     2600.48
      724.00,      347.83,        0.00,        0.00,       80.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2989.69,     2299.94
      725.00,      500.00,        0.00,        0.00,      195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2923.57,     2722.82
      726.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2923.33,     2900.84
      727.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2819.61,     2807.39
      728.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2819.03,     2599.08
      729.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2819.98,     2700.97
      730.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2900.60,     2989.43
      731.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2989.66,     2800.59
      732.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2989.28,     2722.47
      733.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3250.02,     2299.89
      734.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3300.23,     2701.00
      735.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3326.05,     2700.30
      736.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3326.40,     2801.54
      737.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3199.15,     2999.13
      738.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.76,     2981.20
      739.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3748.07,     3100.48
      740.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3899.45,     3410.29
      741.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3899.93,     3100.27
      742.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4750.73,     3416.51
      743.00,        0.00,      180.00,        0.00,      815.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.07,     3470.47
      744.00,        0.00,        0.00,        0.00,      815.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4048.93,     3416.89
      745.00,        0.00,      500.00,        0.00,      679.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5039.34,     3939.44
      746.00,        0.00,      500.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5999.92,     3807.81
      747.00,        0.00,      500.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6100.96,     3599.12
      748.00,        0.00,      500.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6100.06,     3399.69
      749.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5039.35,     3599.47
      750.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4649.52,     3631.62
      751.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4494.04,     3249.98
      752.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4498.50,     3249.49
      753.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3798.54,     2999.61
      754.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3699.97,     2999.22
      755.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3500.89,     2600.15
      756.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.56,     2600.87
      757.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3479.63,     2900.11
      758.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3339.62,     2599.52
      759.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3199.04,     2859.34
      760.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3019.59,     2199.73
      761.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2750.17,     2039.42
      762.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2584.66,     1999.83
      763.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2539.18,     1849.38
      764.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2355.97,     1775.70
      765.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2130.37,     1999.20
      766.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2036.92,     2151.64
      767.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2000.53,     1687.50
      768.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.78,     1700.29
      769.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.48,     1599.57
      770.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.46,     1599.47
      771.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.37,     1700.32
      772.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.20,     1600.56
      773.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.57,     1533.06
      774.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1829.75,     1109.57
      775.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.54,     1499.20
      776.00,      347.83,        0.00,        0.00,       80.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     1799.30,     1500.04
      777.00,      500.00,        0.00,        0.00,      195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1724.54,     1499.63
      778.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1724.53,     1499.66
      779.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1724.57,     1499.50
      780.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1700.61,     1499.31
      781.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1724.22,     1516.60
      782.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1724.45,     1541.60
      783.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1724.80,      999.90
      784.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1739.89,     1200.03
      785.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.32,     1512.50
      786.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1830.06,     1750.59
      787.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.72,     1834.65
      788.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.34,     2033.63
      789.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2117.38,     1070.64
      790.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2202.27,     1499.11
      791.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2339.96,     1499.74
      792.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2518.47,     1010.93
      793.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2624.28,      999.83
      794.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2979.25,     2289.11
      795.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3317.27,     2999.61
      796.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3400.06,     3350.19
      797.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.96,     3120.35
      798.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3333.97,     3450.93
      799.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.36,     3163.09
      800.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3710.44,     3631.10
      801.00,        0.00,        0.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3617.57,     2969.48
      802.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.00,     2969.64
      803.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3959.75,     3435.76
      804.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4151.33,     3621.86
      805.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3899.01,     3680.63
      806.00,        0.00,      180.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3656.27,     3690.07
      807.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3748.45,     3680.35
      808.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3748.36,     3670.46
      809.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.31,     4003.55
      810.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.74,     3832.57
      811.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3435.57,     5039.71
      812.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.95,     4999.13
      813.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3250.63,     3769.55
      814.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3250.57,     3631.73
      815.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3172.00,     3631.23
      816.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2958.16,     3050.29
      817.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2800.78,     3435.78
      818.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2579.56,     3499.25
      819.00,      347.83,        0.00,        0.00,       80.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2409.64,     2999.51
      820.00,      500.00,        0.00,        0.00,      195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2409.26,     2999.23
      821.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2239.96,     2059.93
      822.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2239.32,     2179.36
      823.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2239.10,     2359.90
      824.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1999.91,     1949.77
      825.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2079.99,     2699.52
      826.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2239.67,     2999.31
      827.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2409.58,     2369.45
      828.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2411.69,     2364.00
      829.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2538.64,     2059.93
      830.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2568.92,     2599.99
      831.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.39,     2505.52
      832.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.56,     2539.31
      833.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.30,     2049.79
      834.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2923.15,     2049.95
      835.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2900.96,     2020.00
      836.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2929.54,     2700.75
      837.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2929.57,     2900.14
      838.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3328.39,     3050.79
      839.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.84,     3423.68
      840.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.40,     3631.03
      841.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4150.03,     3689.42
      842.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4492.31,     3680.41
      843.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.47,     3670.47
      844.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4249.24,     3459.14
      845.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3989.70,     3409.16
      846.00,        0.00,      500.00,        0.00,      184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3959.83,     3409.08
      847.00,        0.00,      500.00,        0.00,       48.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3748.43,     2931.00
      848.00,        0.00,      180.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3569.47,     2649.79
      849.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3479.06,     2219.58
      850.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3449.89,     2349.74
      851.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3449.40,     2995.10
      852.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3339.01,     2993.42
      853.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3200.98,     2999.44
      854.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3099.77,     2944.13
      855.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2998.21,     2000.00
      856.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.81,     1949.42
      857.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2746.48,     2420.88
      858.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2584.34,     2538.39
      859.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2538.04,     1700.61
      860.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2381.46,     1579.96
      861.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2036.90,     2538.19
      862.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.99,     2599.35
      863.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.84,     1799.38
      864.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.74,     1479.90
      865.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.08,     1550.60
      866.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1979.45,     1441.24
      867.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.01,      999.68
      868.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.44,      999.68
      869.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.76,      999.72
      870.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.42,      999.74
      871.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.24,      999.78
      872.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1799.04,      999.60
      873.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1756.84,      999.35
      874.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1751.65,      999.30
      875.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1750.78,      999.47
      876.00,      500.00,        0.00,        0.00,      575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1730.91,      999.51
      877.00,      500.00,        0.00,        0.00,      690.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1799.05,      999.48
      878.00,      500.00,        0.00,        0.00,      805.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1799.05,      999.55
      879.00,      500.00,        0.00,        0.00,      920.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1799.12,      999.47
      880.00,      347.83,        0.00,        0.00,     1000.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     1799.20,      999.47
      881.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.42,      999.40
      882.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1799.87,      999.53
      883.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.15,      999.59
      884.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.50,      999.63
      885.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2043.54,      999.57
      886.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2199.82,      999.68
      887.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2411.54,     1441.49
      888.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2539.88,     2279.58
      889.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2799.25,      999.69
      890.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3196.23,     2200.86
      891.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.99,     3001.46
      892.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3600.27,     3479.61
      893.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3748.24,     3000.00
      894.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3879.69,     3620.87
      895.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3960.00,     3620.06
