Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
    21497.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2998.88,     2998.88
    21498.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2880.67,     2880.67
    21499.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2889.66,     2889.66
    21500.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2707.77,     2707.77
    21501.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2707.29,     2707.29
    21502.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2646.76,     2646.76
    21503.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2400.42,     2400.42
    21504.00,      500.00,        0.00,        0.00,      575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2402.59,     2402.59
    21505.00,        0.00,      500.00,        0.00,      439.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3600.29,     3600.29
    21506.00,        0.00,      500.00,        0.00,      303.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3498.64,     3498.64
    21507.00,        0.00,      500.00,        0.00,      167.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3447.75,     3447.75
    21508.00,        0.00,      500.00,        0.00,       31.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3243.41,     3243.41
    21509.00,        0.00,      116.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3199.79,     3199.79
    21510.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3195.46,     3195.46
    21511.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3189.70,     3189.70
    21512.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3132.31,     3132.31
    21513.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2970.90,     2970.90
    21514.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2968.77,     2968.77
    21515.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2899.41,     2899.41
    21516.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2803.00,     2803.00
    21517.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2700.41,     2700.41
    21518.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2635.35,     2635.35
    21519.00,      347.83,        0.00,        0.00,      195.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2700.19,     2700.19
    21520.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2628.46,     2628.46
    21521.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2569.19,     2569.19
    21522.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2598.30,     2598.30
    21523.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2625.88,     2625.88
