Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
       46.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7000.69,     4200.98
       47.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6999.55,     4199.19
       48.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6998.36,     4000.89
       49.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4998.84,     4774.45
       50.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4099.03,     4999.18
       51.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.52,     4630.15
       52.00,      173.91,        0.00,        0.00,       40.00,        0.00,        0.00,      173.91,        0.00,        0.00,        0.00,     3947.29,     4000.79
       53.00,      500.00,        0.00,        0.00,      155.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3756.22,     3001.83
       54.00,      500.00,        0.00,        0.00,      270.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3735.30,     3400.22
       55.00,      500.00,        0.00,        0.00,      385.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3708.12,     2950.93
       56.00,      500.00,        0.00,        0.00,      500.00,        1.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3726.30,     3120.84
       57.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3726.02,     3681.00
       58.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3708.28,     4260.53
       59.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3726.35,     5000.25
       60.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3708.87,     5349.21
       61.00,      500.00,        0.00,        0.00,      615.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4000.10,     4696.00
       62.00,      500.00,        0.00,        0.00,      730.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4000.34,     4001.41
       63.00,      500.00,        0.00,        0.00,      845.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4099.32,     3800.36
       64.00,        0.00,        0.00,        0.00,      845.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4342.96,     3899.47
       65.00,       10.87,        0.00,        0.00,      847.50,        0.00,        0.00,       10.87,        0.00,        0.00,        0.00,     4718.85,     4001.64
       66.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5800.40,     3799.70
       67.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5890.86,     3558.45
       68.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.02,     3558.67
       69.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5998.29,     2900.00
       70.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4829.89,     2150.47
       71.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4829.94,     2369.64
       72.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5740.33,     2700.31
       73.00,        0.00,        0.00,        0.00,      847.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.96,     4450.96
       74.00,        0.00,      500.00,        0.00,      711.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7680.24,     4500.67
       75.00,        0.00,      118.80,        0.00,      679.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6394.22,     4500.51
       76.00,        0.00,      500.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7680.65,     4579.54
       77.00,        0.00,      500.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.55,     4801.00
       78.00,        0.00,      500.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.26,     4630.05
       79.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8000.25,     4500.66
       80.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6608.52,     3680.55
       81.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5998.41,     3990.12
       82.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5500.92,     3680.61
       83.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.07,     3680.77
       84.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5499.87,     3650.58
       85.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4718.45,     3192.83
       86.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4499.84,     2866.25
       87.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4270.88,     2900.93
       88.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3814.83,     2810.34
       89.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3624.33,     3600.56
       90.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3450.77,     3624.91
       91.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3307.86,     3680.43
       92.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3030.76,     3500.75
       93.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2918.76,     2994.68
       94.00,      500.00,        0.00,        0.00,      575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2891.35,     2810.70
       95.00,      500.00,        0.00,        0.00,      690.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2768.61,     3000.75
       96.00,      500.00,        0.00,        0.00,      805.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2768.15,     2650.89
       97.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3181.19,     3000.16
       98.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3136.24,     2939.68
       99.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3136.12,     2950.91
      100.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3058.25,     2850.51
      101.00,        0.00,        0.00,        0.00,      805.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2958.91,     2700.55
      102.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2958.00,     2400.49
      103.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2910.22,     2880.02
      104.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2870.78,     2850.66
      105.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2870.43,     2850.47
      106.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2870.38,     2850.88
      107.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2860.82,     2768.22
      108.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2860.65,     2600.78
      109.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2850.00,     2768.13
      110.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2822.86,     2891.08
      111.00,        0.00,        0.00,        0.00,      805.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2822.71,     2939.01
      112.00,      347.83,        0.00,        0.00,      885.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2822.56,     2939.47
      113.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2822.51,     3101.60
      114.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2860.31,     3101.68
      115.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2958.41,     3379.92
      116.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2958.46,     3101.78
      117.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3136.47,     3379.33
      118.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3136.43,     3501.20
      119.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3250.32,     3620.78
      120.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3457.89,     3620.59
      121.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4170.23,     5020.57
      122.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4350.41,     5200.75
      123.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4999.26,     4945.07
      124.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5499.39,     5630.59
      125.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5950.60,     4500.29
      126.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.48,     4309.10
      127.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6240.81,     5200.28
      128.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7000.06,     6500.15
      129.00,        0.00,      321.20,        0.00,      776.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6998.28,     5100.47
      130.00,        0.00,      500.00,        0.00,      640.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7000.39,     5200.23
      131.00,        0.00,      500.00,        0.00,      505.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8250.09,     5500.53
      132.00,        0.00,      500.00,        0.00,      369.24,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7998.93,     6000.84
      133.00,        0.00,        0.00,        0.00,      369.24,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6031.99,     6505.18
      134.00,        0.00,      500.00,        0.00,      233.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7720.32,     6505.28
      135.00,        0.00,      500.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7020.54,     6303.67
      136.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.29,     6149.22
      137.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.00,     5200.69
      138.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.21,     4787.81
      139.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.03,     4749.50
      140.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5730.36,     4682.20
      141.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4450.34,     3899.43
      142.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4427.61,     4392.24
      143.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4300.73,     4701.00
      144.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4222.21,     4989.34
      145.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4037.15,     4364.94
      146.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3750.82,     4392.68
      147.00,        0.00,        0.00,        0.00,       97.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3595.74,     3680.47
      148.00,      423.91,        0.00,        0.00,      195.00,        0.00,        0.00,      423.91,        0.00,        0.00,        0.00,     3500.49,     3680.81
      149.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3491.72,     2489.74
      150.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3500.20,     2431.24
      151.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3491.13,     2921.51
      152.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3450.80,     2921.10
      153.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3457.29,     2900.75
      154.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3457.23,     3000.33
      155.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3457.61,     2670.00
      156.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3595.09,     2860.19
      157.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3614.32,     2921.87
      158.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3719.42,     2959.43
      159.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3832.74,     3499.24
      160.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3832.11,     3510.78
      161.00,        0.00,        0.00,        0.00,     1000.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3998.67,     3800.41
      162.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4222.64,     4200.62
      163.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4271.64,     4945.20
      164.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.41,     4442.11
      165.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4412.50,     3599.01
      166.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4391.55,     3599.25
      167.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4999.24,     2999.96
      168.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8250.67,     3680.69
      169.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8874.90,     4500.97
      170.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12000.00,     5780.31
      171.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12000.00,    12000.00
      172.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12000.00,    12000.00
      173.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12000.00,    12000.00
      174.00,        0.00,      500.00,        0.00,      184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12000.00,    12000.00
      175.00,        0.00,      500.00,        0.00,       48.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    12000.00,    12000.00
      176.00,        0.00,      180.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8874.84,    12000.00
      177.00,      347.83,        0.00,        0.00,       80.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     5500.73,     6149.95
      178.00,        0.00,        0.00,        0.00,       80.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5730.49,     5699.08
      179.00,        0.00,        0.00,        0.00,       80.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5999.27,     6149.64
      180.00,        0.00,        0.00,        0.00,       80.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7600.25,     5250.40
      181.00,      500.00,        0.00,        0.00,      195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4374.82,     4898.81
      182.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4320.30,     4700.63
      183.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4289.76,     4200.34
      184.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4222.64,     3899.69
      185.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3999.76,     3599.19
      186.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3832.21,     4476.00
      187.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3719.18,     4662.22
      188.00,      500.00,        0.00,        0.00,     1000.00,        1.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3719.96,     4540.07
      189.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3650.27,     4442.99
      190.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3650.12,     4000.79
      191.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3614.51,     4652.98
      192.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3595.76,     4392.90
      193.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10200.92,     6107.53
      194.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10200.60,     6101.54
      195.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10000.82,     6000.10
      196.00,        0.00,      340.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10000.09,     4200.90
      197.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8500.54,     4720.92
